feature,mean_abs_shap
plane_of_array_irradiance_t-0,0.3507233
global_horizontal_irradiance_t-0,0.19850859
global_horizontal_irradiance_t-2,0.06354715
global_horizontal_irradiance_t-1,0.062055934
plane_of_array_irradiance_t-1,0.04144865
global_horizontal_irradiance_t-3,0.03526062
global_horizontal_irradiance_t-4,0.019129304
plane_of_array_irradiance_t-15,0.017996259
plane_of_array_irradiance_t-2,0.017935805
global_horizontal_irradiance_t-8,0.012847182
surface_temperature_t-15,0.011648272
global_horizontal_irradiance_t-5,0.011424751
global_horizontal_irradiance_t-6,0.009790378
surface_temperature_t-1,0.00902502
plane_of_array_irradiance_t-14,0.008615798
surface_temperature_t-0,0.008039738
surface_temperature_t-2,0.0077809766
surface_temperature_t-14,0.0075000497
plane_of_array_irradiance_t-5,0.0067977067
surface_temperature_t-3,0.005834744
plane_of_array_irradiance_t-3,0.0058047306
surface_temperature_t-13,0.005658946
surface_temperature_t-4,0.005424936
surface_temperature_t-12,0.004851063
plane_of_array_irradiance_t-7,0.0048129447
global_horizontal_irradiance_t-15,0.0046850704
global_horizontal_irradiance_t-9,0.0045320746
global_horizontal_irradiance_t-14,0.004393522
surface_temperature_t-5,0.004121024
surface_temperature_t-11,0.0034880526
plane_of_array_irradiance_t-13,0.003435587
surface_temperature_t-6,0.0032838727
global_horizontal_irradiance_t-7,0.0031127608
plane_of_array_irradiance_t-9,0.003081998
global_horizontal_irradiance_t-13,0.0026922612
global_horizontal_irradiance_t-10,0.0026894773
global_horizontal_irradiance_t-11,0.002643436
surface_temperature_t-10,0.0025865727
plane_of_array_irradiance_t-11,0.0024434887
plane_of_array_irradiance_t-4,0.0023271055
plane_of_array_irradiance_t-12,0.002008346
global_horizontal_irradiance_t-12,0.001979911
surface_temperature_t-9,0.0019623993
relative_humidity_t-15,0.0019069406
relative_humidity_t-8,0.0018921772
surface_temperature_t-7,0.0018378594
surface_temperature_t-8,0.0016904812
plane_of_array_irradiance_t-8,0.0016746792
relative_humidity_t-0,0.0016549721
plane_of_array_irradiance_t-6,0.0016463145
relative_humidity_t-14,0.0015861653
relative_humidity_t-1,0.0014931461
relative_humidity_t-3,0.0013879259
relative_humidity_t-4,0.001316678
relative_humidity_t-7,0.0012946764
plane_of_array_irradiance_t-10,0.0011557738
relative_humidity_t-10,0.001130423
relative_humidity_t-2,0.0011223584
relative_humidity_t-5,0.0010318595
relative_humidity_t-13,0.0009827679
relative_humidity_t-6,0.0009527287
relative_humidity_t-9,0.0009086128
relative_humidity_t-11,0.0007756351
relative_humidity_t-12,0.0007230363
